lng,lat,id,description
78.5724774,17.5471584,1,Main Gate
78.572685,17.5469206,2,
78.5726528,17.546716,3,
78.5720949,17.5470024,4,
78.5718374,17.5470843,5,
78.5711747,17.5458924,6,Library
78.5702893,17.5471902,7,
78.5697673,17.5470294,8,
78.569785,17.5469472,9,
78.5696187,17.5469293,10,
78.5704364,17.5462139,11,H-Block
78.569841,17.5451705,12,K-Block
78.5699072,17.545235,13,
78.5697999,17.5450764,14,
78.5688084,17.5453445,15,
78.5691839,17.5461679,16,Chess Coutryard Entrance
78.5687812,17.5437812,17,
78.5699184,17.5427019,18,
78.5705943,17.5423644,19,
78.5712824,17.5420962,20,
78.5715613,17.5426333,21,
78.5709015,17.5429965,22,
78.5711644,17.5435387,23,
78.5718939,17.5432266,24,
78.5705367,17.54382,25,Workshop
78.5707276,17.5441691,26,
78.570969,17.5441282,27,
78.5708912,17.5436729,28,
78.5702904,17.5440207,29,
78.5703628,17.5443583,30,
78.5705058,17.5450127,31,Cafeteria
78.5721591,17.5437548,32,E-Block
78.5722449,17.5439006,33,
78.5731475,17.5437702,34,Rock Garden
78.573299,17.5438955,35,
78.5733395,17.5437478,36,
78.5727445,17.5440806,37,
78.5726613,17.5441906,38,
78.5721866,17.5443543,39,D-Block Entrance
78.5722107,17.544454,40,
78.571964,17.5446611,41,
78.5720886,17.5449082,42,
78.5724198,17.5448942,43,
78.5720363,17.5448149,44,C-Block
78.573706,17.5448353,45,
78.5725325,17.5450503,46,B-Block Entrance
78.5734177,17.5462155,47,
78.5729334,17.5459623,48,A-Block Parking
78.5736653,17.544659,49,
78.5736036,17.5444662,50,
78.5737726,17.5445301,51,
78.5746685,17.5440979,52,
78.5744852,17.5437075,53,Football Ground
78.574265,17.5432906,54,
78.5749369,17.5446721,55,Shankar Bhavan
78.5751066,17.5446137,56,Mess 2
78.5752487,17.5445351,57,Vyas Bhavan
78.5751703,17.5443803,58,Wich Please
78.5749705,17.5439477,59,
78.575536,17.5436706,60,
78.5757586,17.5435747,61,
78.5759571,17.5434698,62,
78.5761033,17.5442767,63,Vishawakarma Bhavan-Second Entrance
78.576161,17.5433905,64,
78.5768834,17.5447901,65,
78.5769377,17.5450943,66,
78.5745569,17.5431522,67,
78.5751335,17.5428862,68,
78.5741545,17.5431394,69,Chipotle
78.574335,17.5427364,70,Yumpy's/Thickshake Factory
78.5742462,17.5425803,71,Gandhi Bhavan
78.574096,17.5426136,72,Mess 1
78.5739297,17.5427363,73,Krishna Bhavan
78.5738382,17.541702,74,Meera Bhavan
78.5735163,17.5418759,75,Ganga Bhavan
78.5731918,17.5412647,76,
78.573527,17.5411189,77,
78.5746834,17.5406101,78,
78.5748739,17.5409963,79,Malviya Bhavan
78.575016,17.5412239,80,
78.575303,17.5410858,81,Student Activity Center
78.5754103,17.5402904,82,
78.5754693,17.5404516,83,SAC Backdoor
78.5760107,17.5399412,84,
78.5764372,17.540312,85,New Football Ground
78.5766518,17.5404194,86,Swimming Pool
78.5768315,17.5404936,87,
78.5771614,17.5409591,88,
78.5774055,17.5407136,89,
78.5776308,17.5409693,90,H8 (Staff Quarters)
78.5771748,17.5414859,91,
78.5776147,17.541335,92,H8 Block
78.5773271,17.5418447,93,
78.5779457,17.542031,94,
78.5776777,17.5426776,95,
78.5772137,17.5428829,96,
78.5767471,17.543091,97,
78.576672,17.5431678,98,
78.576503,17.5432189,99,Dean's Quarters
78.5762777,17.5433289,100,
78.576817,17.5421041,101,
78.5763771,17.5423087,102,
78.5762907,17.5421082,103,Medical Center
78.5774132,17.540379,104,Cricket Ground
78.575868,17.542551,105,
78.5757133,17.5426185,106,
78.5755484,17.5426786,107,Amul
78.5756322,17.5424981,108,Maggi Hotspot
78.5754682,17.5420956,109,Connaut Place Entrance2
78.5761213,17.5421864,110,Connaut Place Entrance1
78.5753791,17.5419271,111,Tennis Court
78.5752054,17.5416357,112,Gautum Bhavan
78.575185,17.541529,113,Basketball Stands
78.5759667,17.5416682,114,Throwball Court
78.5769075,17.5435825,115,
78.5774064,17.5433677,116,
78.5776755,17.5443725,117,
78.5781073,17.5441909,118,
78.578287,17.5445643,119,
78.578574,17.5444057,120,
78.5778686,17.5447484,121,
78.5774394,17.54493,122,
78.5773643,17.544554,123,
78.5772651,17.5446231,124,
78.5781205,17.5439844,125,
78.5780695,17.5438157,126,
78.5780534,17.5436417,127,
78.5779703,17.5433528,128,
78.5778898,17.5430842,129,
78.5764854,17.5452937,130,Vishawakarma Bhavan Entrance1
78.576067,17.5455034,131,
78.5758679,17.5455788,132,
78.5751276,17.5450673,133,
78.5753716,17.5456034,134,
78.5754333,17.5458003,135,
78.5747682,17.5458719,136,
78.5742371,17.54601,137,
78.5743175,17.5463195,138,
78.5737604,17.5455048,139,Philosopher's Stone
78.5753428,17.5428059,140,Volleyball Court
